H_VAL   H_STEP_SIZE 25 0.1
ROLL KP KI KD 25 25 10
PITCH KP KI KD 25 25 10
YAW KP KI KD 0 0 0
25 1.34426 181.695 12.6811 0 0 0
25 1.23012 181.707 12.6798 0 0 0
25 1.30633 181.353 12.6777 0 0 0
25 1.30633 181.353 12.6777 0 0 0
25 1.30633 181.353 12.6777 0 0 0
25 1.29368 181.24 12.6766 0 0 0
25 1.30633 181.353 12.6777 0 0 0
25 1.30633 181.353 12.6777 0 0 0
25 1.30633 181.353 12.6777 0 0 0
25 1.31898 181.467 12.6788 0 0 0
25 1.33161 181.581 12.6799 0 0 0
25 1.33161 181.581 12.6799 0 0 0
25 1.31898 181.467 12.6788 0 0 0
25 1.31898 181.467 12.6788 0 0 0
25 1.31898 181.467 12.6788 0 0 0
25 1.31898 181.467 12.6788 0 0 0
25 1.31898 181.467 12.6788 0 0 0
25 1.31898 181.467 12.6788 0 0 0
25 1.33161 181.581 12.6799 0 0 0
25 1.33161 181.581 12.6799 0 0 0
25 1.34426 181.695 12.6811 0 0 0
25 1.33161 181.581 12.6799 0 0 0
25 1.33161 181.581 12.6799 0 0 0
25 1.33161 181.581 12.6799 0 0 0
25 1.33161 181.581 12.6799 0 0 0
25 1.33161 181.581 12.6799 0 0 0
25 1.33161 181.581 12.6799 0 0 0
25 1.33161 181.581 12.6799 0 0 0
25 1.34426 181.695 12.6811 0 0 0
25 1.35691 181.809 12.6822 0 0 0
25 1.35691 181.809 12.6822 0 0 0
25 1.34426 181.695 12.6811 0 0 0
25 1.34426 181.695 12.6811 0 0 0
25 1.34426 181.695 12.6811 0 0 0
25 1.34426 181.695 12.6811 0 0 0
25 1.34426 181.695 12.6811 0 0 0
25 1.35691 181.809 12.6822 0 0 0
25 1.35691 181.809 12.6822 0 0 0
25 1.36955 181.923 12.6833 0 0 0
25 1.36955 181.923 12.6833 0 0 0
25 1.36955 181.923 12.6833 0 0 0
25 1.35691 181.809 12.6822 0 0 0
25 1.35691 181.809 12.6822 0 0 0
25 1.35691 181.809 12.6822 0 0 0
25 1.35691 181.809 12.6822 0 0 0
25 1.36955 181.923 12.6833 0 0 0
25 1.36955 181.923 12.6833 0 0 0
25 1.3822 182.036 12.6844 0 0 0
25 1.26805 182.049 12.6828 0 0 0
25 1.3822 182.036 12.6844 0 0 0
25 1.3822 182.036 12.6844 0 0 0
25 1.3822 182.036 12.6844 0 0 0
25 1.36955 181.923 12.6833 0 0 0
25 1.36955 181.923 12.6833 0 0 0
25 1.3822 182.036 12.6844 0 0 0
