10	24.24	323464	100216
10	24.24	323463	100216
10	24.24	323463	2.34854e-38
10	24.24	323463	100216
10	24.23	323464	100215
10	24.23	323465	100215
10	24.23	323467	100214
10	24.23	323470	100214
10	24.23	323468	100213
10	24.22	323463	100212
10	24.2	323452	100212
10	24.19	323441	100211
10	24.17	323430	100210
10	24.16	323424	100208
10	24.15	323421	100206
10	24.14	323421	100205
10	24.13	323418	100205
-2.12676e+38	24.1299	323415	100206
10	24.13	323416	100205
10	24.13	323414	100206
10	24.13	323412	100205
10	24.13	323412	100205
10	24.12	323416	100204
10	24.13	323424	100203
10	24.13	323425	100203
10	24.13	323433	100203
10	24.14	323442	100202
10	24.14	323446	100202
10	24.14	323452	100201
10	24.15	323460	100201
10	24.15	323463	100201
10	24.16	323464	100202
10	24.15	323466	100201
163840	24.15	323461	100201
10	24.15	323460	100201
10	24.15	323459	100201
10	24.15	323459	100201
10	24.15	323459	100201
10	24.15	323449	100202
10	24.15	323442	100204
10	24.14	323436	100204
10	24.14	323421	100205
10	24.12	323412	100205
10	24.11	323403	100204
10	24.09	323393	100203
10	24.08	323386	100202
10	24.07	323377	100202
10	24.07	323374	100201
10	24.06	323370	100201
10	24.06	323370	100201
10	24.06	323365	100202
10	24.06	323348	100204
10	24.06	323351	100204
10	24.06	323347	100204
10	24.05	323338	100204
10	24.04	323332	100204
10	24.03	323330	100203
10	24.03	323323	100204
10	24.02	323324	100203
10	24.02	323326	100202
10	24.02	323328	100201
10	24.02	323331	100201
10	24.02	323330	100202
10	24.03	323322	100204
10	24.03	323325	100203
10	24.03	323319	100204
10	24.02	323315	100204
10	24.02	323310	100204
10	24.01	323305	100204
10	24.01	323286	100206
10	24	323279	100207
10	23.99	323274	100205
10	23.99	323273	100205
10	23.98	323276	100204
