sensor is a BMP280
-1.59
-7.40
4.49
5.28
-17.97
-16.38
10.04
-9.51
4.23
-1.06
3.43
-0.53
12.42
11.63
-15.85
12.15
-1.59
1.06
8.72
-2.64
-11.10
12.68
-1.59
23.78
7.93
-12.68
-24.31
-12.68
-21.14
-16.91
-1.59
-14.27
16.12
-27.48
17.17
9.51
32.50
7.13
-14.80
-19.02
8.72
-10.57
17.97
-21.14
-18.50
1.85
2.38
-11.63
15.85
-5.28
2.91
3.43
13.74
14.00
2.91
14.27
11.89
36.99
20.87
-7.93
-7.93
-7.40
15.06
16.91
1.32
7.13
28.54
-22.72
3.17
3.17
-16.38
-7.40
-8.46
4.49
-3.70
-1.06
-9.51
-2.11
6.34
-19.55
-4.23
18.76
28.54
-13.74
7.93
4.49
-18.50
-7.40
-12.15
-23.25
-20.61
2.64
4.76
23.78
5.81
16.91
-1.59
6.34
13.21
30.39
14.27
-2.64
16.12
3.43
7.66
-7.40
4.76
23.25
-1.06
-16.91
10.30
2.38
17.70
1.85
-20.08
1.85
-4.23
-7.40
3.70
8.72
-9.51
-3.70
-8.46
1.06
-4.76
2.38
-7.40
0.26
-13.21
-8.98
-17.97
-26.42
-4.76
-10.04
-12.68
-20.61
-6.87
-20.61
-17.44
13.74
-5.81
11.63
10.04
-23.25
-12.68
-20.61
-4.76
-4.76
-6.87
-20.61
-6.34
-11.63
-32.24
-4.76
-13.21
11.36
0.79
-6.34
-1.06
11.36
11.10
1.85
7.93
30.39
-37.52
-12.68
-22.72
-36.46
8.72
-8.46
1.85
34.88
-12.15
10.04
1.32
-9.51
-7.40
-20.61
-11.10
-14.27
-1.59
8.72
2.64
-12.68
-14.27
-15.85
-14.27
1.06
1.85
-5.81
-16.91
-6.34
-22.72
-12.15
-6.87
2.91
-14.80
0.26
-13.74
-6.34
-12.68
-16.38
-5.81
-2.11
-21.67
-12.68
14.53
4.49
-15.33
-4.76
6.08
1.32
19.29
5.81
-2.64
-19.55
-18.50
-13.74
7.66
-12.68
-7.40
3.43
8.19
-14.27
-0.53
-16.38
-7.40
-1.06
-19.55
-6.87
-25.37
-17.44
-13.21
-0.53
1.06
-17.97
-28.54
-28.01
-33.29
-13.74
-24.31
-36.46
-21.67
-24.84
-16.91
-21.67
-16.38
-7.93
-5.28
-22.72
-6.87
6.08
-31.71
-13.74
-13.74
-12.68
-19.02
-21.67
-13.21
-19.55
-38.58
-33.29
-24.31
-2.11
-21.67
-12.15
7.13
-26.42
8.19
1.59
-20.08
-1.06
3.43
-10.57
3.70
-12.68
7.66
-11.63
-10.57
-10.04
-29.59
-21.14
7.40
2.64
-0.53
10.83
-12.15
-20.08
-6.87
6.34
-1.06
-2.11
8.46
13.21
-2.11
31.44
8.72
16.12
2.64
-17.44
-16.91
-13.21
-3.17
-19.02
-5.28
-13.74
0.00
10.57
0.79
17.44
11.10
-14.80
6.34
7.13
7.40
3.96
-8.98
-16.91
-22.72
19.82
-22.72
-5.28
-26.95
10.04
15.85
6.08
-8.46
-8.98
19.02
-17.44
-1.06
-13.21
-2.64
-8.46
-14.27
-6.34
2.91
-0.53
-30.12
-13.21
9.25
-16.38
-20.61
-19.02
-5.28
-16.38
-11.63
-8.98
-6.34
-3.17
-7.40
-15.33
16.38
-6.34
5.28
10.83
1.06
3.17
-8.46
-22.20
-20.08
-7.40
-8.46
2.38
-6.34
-8.98
-2.64
0.26
-25.37
-23.78
-32.76
-8.98
2.11
-6.34
2.91
-3.17
-12.15
-15.33
-13.21
-7.40
1.59
-33.82
9.51
-6.34
6.34
-10.57
-8.98
-6.34
-4.76
17.70
-19.02
-12.15
-3.70
1.06
-1.06
-21.14
-11.10
-8.46
-16.91
-42.28
-25.89
0.00
7.13
-14.80
-20.08
-5.81
-18.50
11.89
-24.31
8.46
-5.81
-6.34
1.06
-13.74
-11.63
12.95
-12.15
-25.37
2.11
-11.10
-2.11
-2.11
3.17
2.64
-9.51
5.28
8.98
6.87
-4.23
-25.37
-24.84
-17.44
-10.57
4.23
-7.93
-5.81
-12.15
-22.20
-20.61
-31.71
-39.63
-37.52
4.76
-14.27
-4.23
-18.50
-12.68
-8.98
3.43
12.42
6.08
-11.10
-4.23
7.93
-4.76
10.83
12.42
0.53
3.43
11.89
6.08
6.87
6.87
4.76
-12.15
-14.27
-8.98
-25.37
-14.27
-23.78
-2.64
1.32
10.30
-14.27
-12.15
-25.89
4.76
-35.93
-17.97
8.46
6.08
10.57
2.38
-4.76
-3.17
-16.91
-20.61
-4.23
-20.61
-27.48
-20.61
-16.38
-26.95
-13.74
-28.54
-8.98
-6.87
1.32
-9.51
-25.89
-4.23
-11.10
2.91
-6.87
-6.87
10.57
-13.74
-10.57
-20.61
-33.29
-27.48
-7.93
-15.33
1.59
-6.34
-7.40
-18.50
-34.35
-7.40
-15.85
-36.46
-29.59
-2.64
2.11
6.34
-27.48
6.08
-17.44
-21.67
-16.38
-13.74
-2.11
-7.40
-5.81
-5.28
-14.27
-14.27
-13.74
-6.87
-3.17
-16.38
-5.28
-10.04
6.87
-0.53
