BMP280 test
0.00,100187.59
-0.42,100192.57
-0.41,100192.40
-0.35,100191.74
-0.31,100191.24
-0.28,100190.91
-0.20,100189.91
-0.17,100189.58
-0.08,100188.58
-0.04,100188.09
-0.03,100187.92
0.04,100187.10
0.07,100186.76
0.14,100185.92
0.18,100185.43
0.24,100184.77
0.29,100184.10
0.34,100183.61
0.38,100183.11
0.41,100182.78
0.15,100185.82
0.19,100185.32
0.22,100184.98
0.25,100184.64
0.25,100184.64
0.26,100184.48
0.32,100183.82
0.33,100183.64
0.35,100183.49
0.35,100183.49
0.36,100183.32
0.38,100183.15
0.38,100183.15
0.39,100182.99
0.40,100182.82
0.40,100182.82
0.40,100182.82
0.42,100182.65
0.43,100182.49
0.43,100182.49
0.18,100185.42
0.20,100185.25
0.20,100185.25
0.21,100185.10
0.21,100185.10
0.22,100184.92
0.24,100184.75
0.25,100184.60
0.25,100184.60
0.27,100184.42
0.28,100184.26
0.30,100184.10
0.30,100184.10
0.31,100183.93
0.31,100183.93
0.31,100183.93
0.32,100183.76
0.32,100183.76
0.34,100183.60
0.35,100183.43
0.26,100184.52
0.27,100184.35
0.27,100184.35
0.29,100184.19
0.30,100184.02
0.31,100183.85
0.33,100183.69
0.34,100183.52
0.37,100183.19
0.37,100183.19
0.39,100183.02
0.40,100182.86
0.40,100182.86
0.41,100182.69
0.43,100182.53
0.43,100182.53
0.46,100182.19
0.47,100182.03
0.47,100182.03
0.48,100181.86
0.34,100183.55
0.34,100183.55
0.36,100183.38
0.36,100183.38
0.40,100182.88
0.41,100182.71
0.44,100182.38
0.44,100182.38
0.45,100182.22
0.48,100181.88
0.50,100181.72
0.51,100181.55
0.51,100181.55
0.52,100181.39
0.51,100181.55
0.50,100181.72
0.48,100181.88
0.48,100181.88
0.47,100182.05
0.45,100182.22
0.38,100183.04
0.38,100183.04
0.41,100182.71
0.43,100182.55
0.40,100182.88
0.40,100182.88
0.41,100182.71
0.43,100182.55
0.43,100182.55
0.44,100182.38
0.45,100182.21
0.47,100182.05
0.48,100181.88
0.48,100181.88
0.48,100181.88
0.50,100181.71
0.48,100181.88
0.47,100182.05
0.44,100182.38
0.44,100182.38
0.38,100183.07
0.38,100183.07
0.40,100182.90
0.41,100182.74
0.41,100182.74
0.44,100182.40
0.44,100182.40
0.41,100182.74
0.38,100183.07
0.38,100183.07
0.37,100183.24
0.37,100183.24
0.37,100183.24
0.38,100183.07
0.41,100182.74
0.41,100182.74
0.44,100182.40
0.47,100182.07
0.47,100182.07
0.48,100181.91
0.44,100182.39
0.44,100182.39
0.47,100182.07
0.47,100182.07
0.47,100182.07
0.45,100182.24
0.47,100182.07
0.48,100181.89
0.48,100181.89
0.48,100181.89
0.49,100181.74
0.51,100181.57
0.52,100181.41
0.51,100181.57
0.52,100181.41
0.52,100181.41
0.52,100181.41
0.54,100181.24
0.55,100181.07
0.56,100180.91
0.39,100183.02
0.37,100183.18
0.36,100183.35
0.37,100183.18
0.40,100182.85
0.41,100182.68
0.43,100182.52
0.41,100182.68
0.43,100182.52
0.43,100182.52
0.44,100182.35
0.44,100182.35
