0	-0	0	-0.04931079969	-0.009153468534	0	0	1.129877806	-2.83189702
0.02	-0	0	-0.04963883013	-0.009033184499	0	0	1.591609955	-0.2371780574
0.04	-0	0	-0.04950457811	-0.009039638564	0	0	1.670042396	-3.073959589
0.06	-0	0	-0.04907466844	-0.009317634627	0	0	1.700601816	-3.141881466
0.08	-0	0	-0.04896330088	-0.009377829731	0	0	1.651773334	-2.230122566
0.1	-0	0	-0.04921384528	-0.009345218539	0	0	1.205102205	-0.480945766
0.12	-0	0	-0.04937687516	-0.009267271496	0	0	1.942014456	-0.8603953719
0.14	-0	0	-0.04925710335	-0.009199300781	0	0	0.9551275373	-2.602597237
0.16	-0	0	-0.04950487986	-0.009400774725	0	0	1.642525434	-2.367683172
0.18	-0	0	-0.04942597821	-0.009558735415	0	0	1.506436944	-1.238173962
0.2	-0	0	-0.0490854159	-0.009196993895	0	0	2.57936883	-1.109483361
0.22	-0	0	-0.04865385592	-0.00960948877	0	0	1.756898522	-2.215218544
0.24	-0	0	-0.04885891825	-0.009515902027	0	0	1.647475839	-1.019684553
0.26	-0	0	-0.04848141968	-0.009209684096	0	0	1.334230661	-0.1586115211
0.28	-0	0	-0.04847950861	-0.008961344138	0	0	1.698821425	-2.176687002
0.3	-0	0	-0.04850307107	-0.009418142959	0	0	1.800942063	-1.626465559
0.32	-0	0	-0.04878271371	-0.009469749406	0	0	1.10771215	-5.200456142
0.34	-0	0	-0.04855532199	-0.009494542144	0	0	1.442876458	-0.2224582136
0.36	-0	0	-0.04809318483	-0.009002445266	0	0	1.954048276	-3.265298367
0.38	-0	0	-0.04815935344	-0.009503893554	0	0	1.487252474	-1.61985302
0.4	-0	0	-0.04868109152	-0.009604267776	0	0	1.742462277	-1.361778378
0.42	-0	0	-0.04884902015	-0.009391626343	0	0	1.653073788	-1.564980745
0.44	-0	0	-0.04901009053	-0.009319322184	0	0	1.596034408	-1.230085015
