H_VAL   H_STEP_SIZE 50 0.1
ROLL KP KI KD 8 0 4
PITCH KP KI KD 8 0 4
YAW KP KI KD 0 0 0
50 99.9914 2.27414 181.755
50 99.9914 2.27414 181.755
50 99.9914 2.27414 181.755
50 100.136 2.49725 181.489
50 100.136 2.49725 181.489
50 100.136 2.49725 181.489
50 99.8316 1.62173 181.813
50 99.8316 1.62173 181.813
50 99.8316 1.62173 181.813
50 99.8316 1.62173 181.813
50 100.127 1.87508 181.868
50 100.127 1.87508 181.868
50 100.127 1.87508 181.868
50 100.127 1.87508 181.868
50 100.127 1.87508 181.868
50 100.127 2.11021 181.766
50 100.127 2.11021 181.766
50 100.127 2.11021 181.766
50 100.127 2.11021 181.766
50 100.127 2.11021 181.766
50 100.127 2.28589 181.913
50 100.127 2.28589 181.913
50 100.287 2.11565 181.763
50 100.287 2.11565 181.763
50 100.288 2.30614 182.071
50 100.288 2.30614 182.071
50 100.288 2.30614 182.071
50 100.288 2.30614 182.071
50 100.435 2.73408 182.274
50 100.435 2.73408 182.274
50 100.435 2.73408 182.274
50 100.591 3.12349 181.992
50 100.591 3.12349 181.992
50 100.591 3.12349 181.992
50 100.577 2.94138 181.845
50 100.579 3.13235 182.153
50 100.579 3.13235 182.153
50 100.58 2.70663 181.948
50 100.58 2.70663 181.948
50 100.587 3.18227 181.743
50 100.587 3.18227 181.743
50 100.594 2.81465 182.183
50 100.594 2.81465 182.183
50 100.594 2.81465 182.183
50 100.885 3.23019 182.218
50 100.882 3.72969 182.334
50 100.882 3.72969 182.334
50 100.742 3.27315 182.706
50 100.741 2.81665 182.179
50 100.734 3.0952 181.665
50 100.734 3.0952 181.665
50 100.875 3.68424 181.85
50 100.888 3.0838 182.394
50 100.888 3.0838 182.394
50 100.886 2.78826 181.853
50 100.886 2.78826 181.853
50 101.163 3.56687 181.445
50 101.163 3.56687 181.445
50 101.163 3.56687 181.445
50 101.181 2.64536 182.022
50 101.028 4.08463 182.621
50 101.18 4.84344 182.788
50 101.18 4.84344 182.788
50 101.311 4.41319 181.685
50 101.465 3.91411 181.566
50 101.455 3.77756 181.01
50 101.455 3.77756 181.01
50 101.17 3.61366 181.929
50 101.17 3.61366 181.929
50 101.025 3.25889 181.642
50 101.025 3.25889 181.642
50 101.283 3.98744 180.748
50 101.283 3.98744 180.748
50 101.283 3.98744 180.748
50 101.611 3.64845 181.343
50 101.181 3.95945 182.06
50 101.181 3.95945 182.06
50 101.005 4.40288 181.696
50 101.005 4.40288 181.696
50 101.455 4.0435 181.228
50 101.455 4.0435 181.228
50 101.455 4.0435 181.228
50 101.609 4.62368 182.14
50 101.474 4.95161 183.009
50 101.474 4.95161 183.009
50 101.473 3.01963 182.467
50 101.324 2.61543 181.696
50 101.306 3.55162 181.279
50 101.306 3.55162 181.279
50 101.588 4.17233 180.884
50 101.588 4.17233 180.884
50 101.588 4.17233 180.884
50 101.757 3.11905 181.798
50 101.757 3.11905 181.798
50 101.612 4.76223 181.804
50 101.431 4.67212 181.003
50 101.293 3.57683 180.707
50 101.293 3.57683 180.707
50 101.586 3.04382 180.263
50 101.586 3.04382 180.263
50 102.04 4.55239 181.318
50 102.048 4.67479 181.712
50 101.914 3.73223 182.139
50 101.914 3.73223 182.139
50 101.589 4.13964 181.454
50 101.589 4.13964 181.454
50 101.874 5.1079 181.186
50 101.896 4.343 181.75
50 102.078 3.77457 182.457
50 102.078 3.77457 182.457
50 102.057 3.99659 181.457
50 101.872 4.42085 180.928
50 101.872 4.42085 180.928
50 101.881 4.45405 181.25
50 101.914 3.82111 182.211
50 102.067 3.28402 182.507
50 102.214 3.70834 181.808
50 102.195 4.05198 181.202
50 102.157 4.4504 180.347
50 101.98 4.56881 180.011
50 101.98 4.56881 180.011
50 101.974 4.88472 179.82
50 101.957 5.13912 180.033
50 101.957 5.13912 180.033
50 102.145 3.81787 179.84
50 102.183 3.15307 180.481
50 102.185 3.61546 181.001
50 102.185 3.77275 181.718
50 102.196 3.77275 181.718
50 102.345 4.4427 181.806
50 102.318 4.9626 181.343
50 102.431 5.03588 180.515
50 102.431 5.03588 180.515
50 102.431 5.03588 180.515
50 102.607 5.00919 180.921
50 102.607 5.00919 180.921
50 102.607 5.00919 180.921
50 102.607 5.00919 180.921
50 102.039 3.79354 181.151
50 102.039 3.79354 181.151
50 102.039 3.79354 181.151
50 102.722 5.82865 180.986
50 102.875 5.39952 180.782
50 102.622 3.91766 181.525
50 102.515 3.27882 182.333
50 102.515 3.27882 182.333
50 102.211 2.3872 183.25
50 102.036 0.941281 184.298
50 101.922 358.795 184.928
50 102.13 359.335 183.736
50 102.358 2.16011 182.619
50 102.738 5.32953 180.879
50 102.812 7.73833 178.976
50 103.095 8.58727 177.874
50 103.095 8.58727 177.874
50 103.216 6.39636 179.352
50 102.9 4.8464 180.925
50 102.662 3.89747 181.937
50 102.662 3.89747 181.937
50 102.662 3.89747 181.937
50 102.366 2.31414 180.975
50 102.318 2.74359 179.706
50 102.505 5.19202 178.867
50 102.505 5.19202 178.867
50 102.97 8.21297 179.642
50 103.247 7.46944 180.936
50 103.328 5.98102 181.51
50 103.328 5.98102 181.51
50 103.082 3.55805 181.064
