H_VAL   H_STEP_SIZE 60 0.1
ROLL KP KI KD 6 0 16
PITCH KP KI KD 6 0 16
YAW KP KI KD 0 0 0
60 357.629 3.6456 181.222
60 357.562 4.20044 182.496
60 357.562 4.20044 182.496
60 357.57 4.54395 182.503
60 357.57 4.54395 182.503
60 357.57 4.54395 182.503
60 357.57 4.54395 182.503
60 357.665 3.73833 182.255
60 357.665 3.73833 182.255
60 357.663 3.97884 182.258
60 357.663 3.97884 182.258
60 357.654 3.39757 182.133
60 357.654 3.39757 182.133
60 357.547 4.09345 182.15
60 357.547 4.09345 182.15
60 357.661 3.74073 182.14
60 357.671 4.32258 182.265
60 357.671 4.32258 182.265
60 357.427 3.50723 182.143
60 357.537 3.28077 182.134
60 357.661 4.09587 182.146
60 357.661 4.09587 182.146
60 357.551 3.74197 182.486
60 357.551 3.74197 182.486
60 357.446 4.54641 182.279
60 357.561 4.78034 182.165
60 357.548 3.97632 182.262
60 357.565 3.84906 182.832
60 357.484 4.87374 182.974
60 357.484 4.87374 182.974
60 357.432 3.38757 182.369
60 357.432 3.38757 182.369
60 357.432 3.38757 182.369
60 357.59 4.7652 182.852
60 357.488 4.52266 183.309
60 357.458 3.84066 183.064
60 357.449 4.89218 182.172
60 357.584 6.74355 181.97
60 357.832 7.6581 181.982
60 357.832 7.6581 181.982
60 357.923 6.1618 181.948
60 357.918 5.12854 182.271
60 357.918 5.12854 182.271
60 357.614 6.8474 182.437
60 357.614 6.8474 182.437
60 357.699 5.3494 182.401
60 357.784 4.67315 182.039
60 357.704 6.03849 182.187
60 357.685 7.09471 181.635
60 357.685 7.09471 181.635
60 357.391 5.03808 180.802
60 357.392 4.69246 180.909
60 357.392 4.69246 180.909
60 357.736 6.84787 182.544
60 357.736 6.84787 182.544
60 357.736 6.84787 182.544
60 357.662 8.34279 182.696
60 357.559 7.32504 181.418
60 357.365 4.82265 180.225
60 357.593 3.89832 180.082
60 357.975 5.61261 180.902
60 357.975 5.61261 180.902
60 358.238 6.502 183.426
60 358.238 6.502 183.426
60 357.861 6.02506 182.982
60 357.682 5.58729 181.948
60 357.43 5.93778 181.395
60 357.568 6.97883 181.639
60 357.568 6.97883 182.885
60 357.753 6.72675 182.885
60 357.729 5.45156 182.976
60 357.576 5.46584 182.18
60 357.591 7.08509 181.985
60 357.725 7.99582 181.997
60 357.725 7.99582 181.997
60 357.848 6.50662 182.645
60 357.948 5.69289 182.626
60 357.815 7.54913 181.751
60 357.91 8.71835 181.307
60 357.91 8.71835 181.307
60 356.777 8.35231 181.612
60 356.085 8.51247 183.05
60 356.009 9.14456 184.805
