H_VAL   H_STEP_SIZE 50 0.1
ROLL KP KI KD 0 0 0
PITCH KP KI KD 0 0 0
YAW KP KI KD 0 0 0
50 356.484 3.74872 181.49
50 356.484 3.74872 181.49
50 356.484 3.74872 181.49
50 356.484 3.74872 181.49
50 356.484 3.74872 181.49
50 356.484 3.74872 181.49
50 356.484 3.74872 181.49
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
50 356.488 3.97779 181.497
