H_VAL   H_STEP_SIZE 50 0.1
ROLL KP KI KD 2 0 0
PITCH KP KI KD 2 0 0
YAW KP KI KD 0 0 0
50 93.0625 1.51284 181.905
50 93.0625 1.51284 181.905
50 93.0625 1.51284 181.905
50 93.0625 1.51284 181.905
50 93.0625 1.51284 181.905
50 93.0626 1.67947 182.063
50 93.0626 1.67947 182.063
50 93.0626 1.67947 182.063
50 93.0624 2.0752 181.648
50 93.0624 2.0752 181.648
50 93.0624 2.0752 181.648
50 93.0632 1.58373 181.498
50 93.0632 1.58373 181.498
50 93.0631 2.34152 182.532
50 93.0631 2.34152 182.532
50 93.0631 2.34152 182.532
50 93.0631 2.34152 182.532
50 93.0631 2.34152 182.532
50 93.0631 2.34152 182.532
50 93.0631 2.34152 182.532
50 93.0631 2.34152 182.532
50 93.0627 2.4289 182.773
50 93.0627 2.4289 182.773
50 93.0627 2.4289 182.773
50 93.2207 2.5992 182.927
50 93.2207 2.5992 182.927
50 93.2207 2.5992 182.927
50 93.0622 2.68267 183.172
50 93.0622 2.68267 183.172
50 93.2157 2.4544 183.58
50 93.2157 2.4544 183.58
50 93.2157 2.4544 183.58
50 93.2211 3.50178 183.308
50 93.2211 3.50178 183.308
50 93.2211 3.50178 183.308
50 93.3814 4.24794 183.526
50 93.3814 4.24794 183.526
50 93.2257 3.84447 183.786
50 93.0607 3.273 184.049
50 93.0607 3.273 184.049
50 93.0607 3.273 184.049
50 93.0499 2.71576 184.469
50 93.0499 2.71576 184.469
50 93.054 2.29139 183.749
50 93.0589 1.94592 182.947
50 93.062 1.85022 182.382
50 92.9022 2.60316 183.42
50 93.065 3.44378 184.206
50 93.2193 3.712 184.925
50 93.2103 3.14588 185.021
50 93.2165 2.29889 183.745
50 93.0612 2.02092 182.702
50 93.0612 2.02092 182.702
50 93.0581 2.72449 181.631
50 93.1844 4.09262 181.186
50 93.1844 4.09262 181.186
50 93.1689 5.41226 181.801
50 93.0533 4.3768 182.562
50 92.909 3.41537 183.239
50 92.9063 2.9393 183.736
50 92.9063 2.9393 183.736
50 93.0629 3.01122 183.325
50 93.0629 3.01122 183.325
50 92.9046 2.67454 183.013
50 92.9046 2.67454 183.013
50 92.9046 2.67454 183.013
50 92.9046 2.67454 183.013
50 92.7448 2.9268 183.579
50 92.9021 3.03387 184.302
50 92.8888 2.4643 184.397
50 93.0539 2.12488 183.591
50 93.0539 2.12488 183.591
50 93.2154 2.03764 183.185
50 93.1951 1.4888 183.93
50 93.1951 1.4888 184.98
50 93.1756 1.59851 184.98
50 93.1896 2.25381 185.126
50 93.1896 2.25381 185.126
50 93.2168 2.71613 184.14
50 93.0632 2.66612 182.524
50 93.216 2.5599 181.47
50 93.2128 2.13446 180.752
50 93.2128 2.13446 180.752
50 93.0583 1.17804 181.59
50 93.0552 1.20438 182.561
50 92.8931 1.70801 183.361
