H_VAL   H_STEP_SIZE 50 0.1
ROLL KP KI KD 12 0 12
PITCH KP KI KD 12 0 12
YAW KP KI KD 0 0 0
50 347.164 3.79693 181.119
50 347.164 3.79693 181.119
50 347.164 3.79693 181.119
50 347.155 3.95883 181.826
50 347.155 3.95883 180.457
50 347.156 3.58246 180.98
50 347.156 3.58246 180.98
50 347.167 3.92024 182.168
50 347.16 3.81918 182.041
50 347.16 3.81918 182.041
50 347.16 3.81918 182.041
50 347.16 3.81918 182.041
50 347.16 3.81918 182.041
50 347.16 3.81918 182.041
50 347.16 3.81918 182.041
50 347.16 3.81918 182.041
50 347.16 3.81918 182.041
50 347.16 3.81918 182.041
50 347.16 3.81918 182.041
50 347.16 3.81918 182.041
50 347.16 3.81918 182.041
50 347.16 3.81918 182.041
50 347.16 3.81918 182.041
50 347.16 3.81918 182.041
50 347.16 3.81918 182.041
50 347.16 3.81918 182.041
50 347.16 3.81918 182.041
50 347.171 4.03414 182.181
50 347.171 4.03414 182.181
50 347.158 4.07272 181.839
50 347.158 4.07272 181.839
50 347.185 4.61599 182.131
50 347.185 4.61599 182.131
50 347.156 3.70523 182.028
50 347.156 3.70523 182.028
50 347.22 5.01925 182.637
50 347.239 5.34697 182.79
50 347.199 4.45089 182.573
50 347.06 3.65003 182.487
50 347.261 5.16941 183.346
50 347.261 6.18756 183.68
50 347.396 6.18756 183.68
50 347.464 4.72471 183.285
50 347.29 3.5051 182.808
50 347.309 4.70795 182.366
50 347.373 6.04446 182.747
50 347.318 4.80894 182.493
50 347.168 3.66661 182.37
50 347.099 5.04079 182.415
50 347.223 5.3854 182.448
50 347.32 4.04962 183.099
50 347.45 3.4611 183.148
50 347.45 3.4611 183.148
50 347.358 4.83359 183.302
50 347.134 5.50769 183.502
50 346.954 4.50803 182.014
50 347.39 4.91391 181.578
50 347.765 5.68269 181.99
50 347.765 5.68269 181.99
50 347.834 5.53565 183.355
50 347.483 4.54781 183.841
50 347.483 4.54781 183.841
50 346.972 5.49325 182.585
50 347.066 6.63526 181.673
50 347.437 6.62729 181.653
50 347.65 5.56532 181.983
50 347.786 5.26817 182.636
50 347.613 6.63236 182.683
50 347.613 6.63236 182.683
50 347.21 6.94035 182.045
50 347.21 6.94035 182.045
50 346.995 4.9459 180.216
50 347.242 4.02726 180.104
50 347.495 4.29623 180.816
50 347.783 6.01099 182.14
50 347.783 6.01099 182.14
50 347.556 5.39806 182.432
50 347.17 4.16087 182.08
50 346.947 4.28068 181.988
50 346.981 6.2134 182.322
50 347.272 7.3158 182.779
50 347.272 7.3158 182.779
50 347.719 4.65389 180.73
50 347.783 4.0829 179.629
50 347.783 4.0829 179.629
50 12.0594 6.74201 179.29
50 348.012 6.37149 182.05
50 347.686 4.44162 182.67
50 347.2 2.78273 182.965
50 347.2 2.78273 182.965
50 346.593 4.85182 182.067
50 346.472 7.48041 181.346
50 346.698 7.84021 181.258
50 347.157 6.01781 180.908
50 347.513 4.48601 181.182
50 348.015 4.71737 182.339
50 348.047 6.06051 182.823
50 348.047 6.06051 182.823
50 347.483 5.43186 183.133
50 347.069 5.72399 181.456
50 347.069 5.72399 181.456
50 347.173 6.52586 181.653
50 347.436 6.38859 181.742
50 347.462 5.84768 182.488
50 347.484 5.30572 183.234
50 347.484 5.30572 183.234
50 347.075 5.34525 181.759
50 347.072 5.83723 181.469
50 347.271 5.89477 181.002
50 347.52 5.35935 181.737
50 347.717 5.54288 183.247
50 347.609 5.90317 183.063
50 347.609 5.90317 183.063
50 347.609 5.90317 183.063
50 347.265 5.42854 181.065
50 347.265 4.58228 181.431
50 347.265 4.58228 181.431
