H_VAL   H_STEP_SIZE 70 0.1
ROLL KP KI KD 5 10 12
PITCH KP KI KD 5 10 12
YAW KP KI KD 0 0 0
70 154.847 1.50622 181.157 0.0805643 -0.0166875 0
70 154.847 1.50622 181.157 0.0956029 -0.0198343 0
70 154.847 1.50622 181.157 0.112176 -0.0232353 0
70 154.847 1.50622 181.157 0.128596 -0.0266364 0
70 154.844 2.27851 180.86 0.0630489 0.00127384 0
70 154.844 2.27851 180.86 0.0650275 0.00340045 0
70 154.844 2.27851 180.86 0.0670247 0.00554713 0
70 154.844 2.27851 180.86 0.068854 0.00767375 0
70 154.965 2.52987 180.795 -5.801 1.5142 0
70 154.965 2.52987 180.795 0.0458489 0.0186999 0
70 154.965 2.52987 180.795 0.0431519 0.0220493 0
70 154.965 2.52987 180.795 0.0406565 0.0251484 0
70 154.965 2.52987 180.795 0.0379847 0.0284666 0
70 154.723 2.6117 180.938 -2.11416 -3.70121 0
70 154.723 2.6117 180.938 0.0240841 0.0198663 0
70 154.723 2.6117 180.938 0.0198985 0.0205554 0
70 155.085 2.66924 180.706 0.0101911 0.0431782 0
70 155.085 2.66924 180.706 0.00533721 0.0482013 0
70 155.085 2.66924 180.706 3.759e-05 0.0528489 0
70 155.085 2.66924 180.706 -0.00531155 0.057872 0
70 154.841 2.77625 180.736 -0.0210041 0.0595073 0
70 154.841 2.77625 180.736 -0.0284387 0.0640443 0
70 154.841 2.77625 180.736 -0.0353276 0.0682484 0
70 154.841 2.77625 180.736 -0.0426939 0.0727854 0
70 154.841 2.77625 180.736 -0.0507423 0.0776555 0
70 154.841 2.77625 180.736 -0.057563 0.0818179 0
70 154.841 2.77625 180.736 -0.0649975 0.086355 0
70 154.841 2.77625 180.736 -0.0719546 0.0906007 0
70 154.841 2.77625 180.736 -0.0788435 0.0948047 0
70 154.838 3.13679 180.699 -0.123116 0.102858 0
70 154.838 3.13679 180.699 -0.13754 0.108143 0
70 154.838 3.13679 180.699 -0.150916 0.113043 0
70 154.836 2.93814 180.538 -0.144598 0.133974 0
70 154.836 2.93814 180.538 -0.154437 0.141753 0
70 154.836 2.93814 180.538 -0.165145 0.150219 0
70 154.832 3.29857 180.501 -0.210715 0.161645 0
70 154.954 3.52491 180.547 -0.226811 0.169996 0
70 154.954 3.52491 180.547 -0.267047 0.174225 0
70 154.835 3.04998 180.563 -0.244659 0.180402 0
70 154.835 3.04998 180.563 -0.257417 0.188311 0
70 154.835 3.04998 180.563 -0.270175 0.196221 0
70 154.823 3.14999 180.116 -0.292373 0.251242 0
70 154.713 3.49413 180.666 -8.34626 -12.5907 0
70 154.713 3.49413 180.666 -0.357361 0.223071 0
70 154.616 4.03495 180.908 -0.430423 0.204625 0
70 154.739 4.37379 180.979 -0.493487 0.199293 0
70 154.739 4.37379 180.979 -0.528884 0.199221 0
70 154.813 4.29161 180.254 -0.558423 0.275302 0
70 154.813 4.29161 180.254 -0.598012 0.290273 0
70 154.91 4.64192 179.741 -0.673952 0.355598 0
70 154.91 4.64192 179.741 -0.714122 0.377566 0
70 154.934 5.07773 179.953 -0.797472 0.378485 0
70 154.908 4.97876 179.345 1.45853 14.598 0
70 154.908 4.97876 179.345 -0.890764 0.482707 0
70 154.991 5.04072 179.004 -0.946965 0.549349 0
70 155.068 5.21518 178.217 -1.01153 0.66246 0
70 155.017 5.69686 177.62 -1.10948 0.770377 0
70 155.165 6.02143 178.272 -1.20285 0.774921 0
70 155.165 6.02143 178.272 -1.26758 0.823038 0
70 155.034 6.13571 177.834 -1.34298 0.914049 0
70 155.065 6.03726 178.28 -1.4015 0.933268 0
70 155.065 6.03726 178.28 -1.47097 0.981234 0
70 154.907 6.04715 177.703 -1.53698 1.0868 0
70 155.082 6.1864 178.665 -1.62661 1.06091 0
70 155.082 6.1864 178.665 -1.69361 1.10164 0
70 155.08 5.67787 178.318 -1.71835 1.17971 0
70 154.977 5.51095 178.991 -1.76163 1.16524 0
70 154.977 5.51095 178.991 -1.82164 1.20333 0
70 154.972 5.62634 178.547 -1.88872 1.28269 0
70 155.124 5.83612 179.643 -1.96115 1.22396 0
70 155.124 5.83612 179.643 -2.0286 1.2479 0
70 154.866 5.77251 178.936 -2.0853 1.33806 0
70 154.866 5.77251 178.936 -2.14559 1.37435 0
70 154.866 5.77251 178.936 -2.20589 1.41063 0
70 154.777 6.07025 177.596 -2.30043 1.58261 0
70 154.777 6.07025 177.596 -2.36603 1.64275 0
70 155.172 6.3063 178.569 -2.45536 1.60511 0
70 155.053 5.88347 178.365 -2.49316 1.67017 0
70 155.053 5.88347 178.365 -2.55544 1.71664 0
70 155.122 5.52667 179.457 -2.58072 1.64981 0
70 154.952 5.49827 178.519 -1.97322 23.5932 0
70 154.952 5.49827 178.519 -2.69388 1.80731 0
70 154.952 5.49827 178.519 -2.74875 1.8506 0
70 154.99 6.37011 177.3 -2.80417 1.89431 0
70 154.99 6.37011 177.3 -2.95745 2.07192 0
70 154.99 6.37011 177.3 -3.02769 2.1367 0
70 155.199 6.47061 176.842 -3.10769 2.24348 0
70 155.199 6.47061 176.842 -3.18042 2.32355 0
70 155.199 6.47061 176.842 -3.25885 2.39641 0
70 155.199 6.47061 176.842 -3.33086 2.46927 0
70 155.017 6.52947 176.04 -3.40977 2.62709 0
70 155.195 6.58212 176.866 -3.49481 2.648 0
70 155.195 6.58212 176.866 -3.56879 2.72043 0
70 155.095 6.42057 177.071 -3.62675 2.77236 0
70 155.142 6.38509 177.766 -3.70146 2.78007 0
70 155.142 6.38509 177.766 -3.77266 2.8372 0
70 155.09 6.33359 176.934 -3.83837 2.97124 0
70 155.09 6.33359 176.934 -3.91416 3.04882 0
70 155.09 6.33359 176.934 -3.98445 3.12074 0
70 155.09 6.33359 176.934 -4.06025 3.19832 0
70 154.991 6.5682 177.461 -4.15277 3.22035 0
70 155.025 6.46991 177.908 -4.21835 3.24251 0
70 155.025 6.46991 177.908 -4.29676 3.30139 0
70 155.054 6.48294 178.379 -4.37073 3.31067 0
70 155.054 6.48294 178.379 -4.44296 3.35643 0
70 155.054 6.48294 178.379 -4.5159 3.40626 0
70 155.039 6.22256 177.97 -4.56876 3.49301 0
70 155.039 6.22256 177.97 -4.63706 3.54651 0
70 155.033 5.93729 177.673 -4.67963 3.62683 0
70 155.033 5.93729 177.673 -4.74782 3.69022 0
70 155.036 5.73453 177.98 -0.0745811 -3.42744 0
70 155.036 5.73453 177.98 -4.85267 3.77503 0
70 155.02 5.87499 177.425 -4.92598 3.88262 0
70 155.02 5.87499 177.425 -4.9875 3.94521 0
70 155.02 5.87499 177.425 -5.05449 4.01336 0
70 155.02 5.87499 177.425 -5.11661 4.07657 0
70 155.148 5.87208 177.887 -5.17874 4.13977 0
70 155.148 5.87208 177.887 -5.24055 4.15433 0
70 155.124 5.74711 177.391 -5.2951 4.26281 0
70 155.124 5.74711 177.391 -5.35495 4.32661 0
70 155.048 5.88805 177.896 -5.42876 4.34035 0
70 155.048 5.88805 177.896 -5.49601 4.39945 0
70 155.048 5.88805 177.896 -5.55776 4.45373 0
70 155.055 5.77221 178.34 -5.60887 4.46368 0
70 155.051 5.77644 177.871 -5.76233 15.4579 0
70 155.051 5.77644 177.871 -5.73464 4.61113 0
70 155.051 5.77644 177.871 -5.79442 4.66584 0
70 155.051 5.77644 177.871 -5.85419 4.72542 0
70 155.012 5.61006 177.483 -5.90264 4.8209 0
70 155.168 5.60036 178.062 -5.95915 4.82993 0
70 155.168 5.60036 178.062 -6.01582 4.88127 0
70 155.054 5.66479 177.847 -6.0843 4.9584 0
70 154.963 5.76263 178.46 -6.1518 4.95696 0
70 154.963 5.76263 178.46 -6.21192 5.00174 0
70 155.038 5.42497 177.794 -6.23904 5.11156 0
70 155.192 5.41545 178.373 -6.07497 -8.34505 0
70 155.192 5.41545 178.373 -6.35049 5.16753 0
70 155.157 5.53782 177.814 -6.4162 5.26761 0
70 155.21 5.45354 178.733 -6.47219 5.24578 0
70 155.21 5.45354 178.733 -6.52373 5.2857 0
70 154.953 5.18887 178.333 -6.55447 5.36173 0
70 154.953 5.18887 178.333 -6.60437 5.40829 0
70 154.981 5.28826 178.941 -6.66848 5.39605 0
70 154.926 5.28758 177.886 -6.72009 5.53522 0
70 154.926 5.28758 177.886 -6.77175 5.59021 0
70 154.926 5.28758 177.886 -6.82696 5.64897 0
70 155.078 4.57009 177.957 -6.80963 5.69714 0
70 155.252 4.66107 179.144 -6.86016 5.64847 0
70 155.022 4.69413 179.513 -7.67291 -2.93097 0
70 155.022 4.69413 179.513 -6.94471 5.67434 0
70 154.759 4.67942 178.58 -6.98429 5.7973 0
70 154.979 4.47019 178.408 -7.00828 5.86009 0
70 155.3 4.55787 177.477 -7.05306 5.99063 0
70 155.3 4.55787 177.477 -7.09174 6.0529 0
70 155.336 4.61086 178.778 -7.13506 5.9915 0
70 155 4.48291 178.88 -7.16271 6.02109 0
70 154.689 4.11655 179.514 -7.20005 -24.2335 0
70 154.695 3.97961 179.6 -4.00259 4.21186 0
70 154.874 3.88578 178.4 -7.2166 6.04827 0
70 154.874 3.88578 178.4 -7.23614 6.19881 0
70 154.874 3.88578 178.4 -7.26521 6.2487 0
70 155.196 4.28456 177.656 -7.32827 6.36296 0
70 155.196 4.28456 177.656 -7.36208 6.42147 0
70 155.113 4.42225 178.628 -7.40894 6.38845 0
70 155.113 4.42225 178.628 -7.44804 6.43392 0
70 155.113 4.42225 178.628 -7.4843 6.4753 0
70 155.113 4.42225 178.628 -7.52021 6.51667 0
70 155.113 4.42225 178.628 -7.55931 6.56214 0
70 155.228 3.82791 178.611 -7.53841 6.60516 0
70 155.228 3.82791 178.611 -7.56812 6.65385 0
70 155.25 3.81715 179.194 -7.59242 6.6346 0
70 155.25 3.81715 179.194 -7.62016 6.66878 0
70 154.908 4.022 179.368 -7.66445 6.68453 0
70 154.908 4.022 179.368 -7.6933 6.71285 0
70 154.887 3.9229 178.76 -7.71577 6.80069 0
70 154.887 3.9229 178.76 -7.74315 6.84012 0
70 155.138 4.1 179.025 -7.78653 6.85554 0
70 155.138 4.1 179.025 -7.81944 6.89565 0
70 155.138 4.1 179.025 -7.85236 6.93039 0
70 155.03 4.02401 179.364 -7.87522 6.93348 0
70 154.883 4.14628 178.809 -7.91808 7.01359 0
70 154.883 4.14628 178.809 -7.94942 7.05516 0
70 154.883 4.14628 178.809 -7.98323 7.0937 0
70 155.156 4.11319 179.497 -8.01123 7.06875 0
70 155.061 3.73876 180.122 0.704684 7.06176 0
70 155.061 3.73876 180.122 -8.0347 7.05594 0
70 154.946 3.79823 180.374 -8.06692 7.04588 0
70 154.817 4.37818 180.391 -8.14703 7.05589 0
70 154.817 4.37818 180.391 -8.18529 7.06619 0
70 154.912 4.41884 179.691 -8.2278 7.14478 0
70 154.915 4.19562 179.641 -3.04951 8.3294 0
70 154.915 4.19562 179.641 -8.27639 7.19579 0
70 154.905 3.93516 179.232 -8.28239 7.26348 0
70 154.905 3.93516 179.232 -8.3143 7.29944 0
70 154.792 4.19323 179.645 -8.3714 7.2878 0
70 154.792 4.19323 179.645 -8.40326 7.31124 0
70 154.919 3.74882 179.542 -8.39095 7.34803 0
70 155.053 3.78834 179.898 -8.41968 7.33759 0
70 155.035 3.99924 179.476 -8.46369 7.39485 0
70 155.035 3.99924 179.476 -8.49242 7.42153 0
70 154.79 3.99505 179.484 -8.52076 7.44753 0
70 154.782 3.93334 179.235 -2.13736 13.2802 0
70 154.782 3.93334 179.235 -8.57375 7.52915 0
70 154.782 3.93334 179.235 -8.60131 7.56012 0
70 154.782 3.93334 179.235 -8.62886 7.59109 0
70 155.17 3.92729 179.807 -8.65798 7.56775 0
70 154.946 3.90995 180.399 -8.68376 7.53169 0
70 154.946 3.90995 180.399 -8.7109 7.54195 0
70 154.808 3.89522 179.931 -8.73658 7.60024 0
70 154.808 3.89522 179.931 -8.76583 7.61883 0
70 154.942 3.93482 180.287 -8.79676 7.60099 0
70 154.942 3.93482 180.287 -8.82434 7.61323 0
70 155.055 3.56458 179.849 -8.8168 7.67056 0
70 154.936 4.29466 180.25 -25.8924 -1.67571 0
70 154.936 4.29466 180.25 -8.93663 7.66789 0
70 155.065 4.80638 180.593 -9.02358 7.6453 0
70 155.449 5.39019 181.172 -9.13009 7.59359 0
70 155.731 6.0121 182.112 -9.24339 7.49962 0
70 156.134 6.66876 182.932 -9.37019 7.40139 0
70 156.184 7.28242 183.882 -9.50363 7.27912 0
70 156.129 7.70826 184.679 -9.63607 7.15136 0
70 155.946 8.28218 185.287 -23.1374 -8.86861 0
70 155.946 8.28218 185.287 -9.88679 6.9548 0
70 155.777 8.94024 186.033 -10.0611 6.79978 0
70 155.777 8.94024 186.033 -10.1881 6.70179 0
70 155.691 7.03232 183.391 -10.1079 6.88891 0
70 155.379 3.99358 179.463 -9.8711 7.25832 0
70 204.937 2.48171 183.796 -9.60346 7.51047 0
70 155.101 358.871 174.474 3.00717 32.1123 0
70 155.101 358.871 174.474 -9.28498 7.96976 0
70 155.058 0.310007 177.02 -9.36933 7.82558 0
70 155.048 2.05205 179.75 -9.51268 7.61342 0
70 154.961 3.69872 180.821 -9.6774 7.52442 0
70 154.76 4.11128 181.624 -9.74561 7.44416 0
70 154.616 3.0284 180.681 -9.66898 7.52608 0
70 154.661 1.92259 177.731 -9.57246 7.81968 0
70 154.894 1.36029 176.547 -9.50918 7.9937 0
70 154.894 1.36029 176.547 -9.4911 8.07176 0
70 154.894 1.36029 176.547 -9.47303 8.14981 0
70 155.456 3.5039 177.947 -9.67047 8.08842 0
70 155.39 4.1439 179.848 -9.75879 7.95022 0
70 154.942 3.82309 180.262 -9.75729 7.92799 0
70 154.581 2.58729 179.996 -9.66605 7.96725 0
70 154.57 1.95622 179.149 -9.60983 8.06611 0
70 154.904 2.31912 178.051 -9.63659 8.20266 0
70 155.349 3.43041 178.286 -9.73568 8.23356 0
70 155.475 3.91767 178.74 -9.80142 8.24325 0
70 155.475 3.91767 178.74 -9.82843 8.28264 0
70 155.037 2.99588 179.724 -9.77135 8.23246 0
70 155.037 2.99588 179.724 -9.78307 8.25648 0
70 154.711 2.28994 180.278 -9.72075 8.22126 0
70 154.711 2.28994 180.278 -9.71907 8.23354 0
70 154.836 2.71441 180.488 -9.7613 8.22427 0
70 155.051 3.16638 179.526 -9.81114 8.32617 0
70 155.027 3.31522 178.856 -9.83928 8.41574 0
70 155.005 3.24012 178.136 -8.10139 25.2753 0
70 155.005 3.24012 178.136 -9.86437 8.56798 0
70 155 3.06574 177.863 -9.86234 8.65211 0
70 155.031 3.29042 178.968 -9.89707 8.59624 0
70 154.919 3.43832 179.356 -9.92743 8.5946 0
70 154.919 3.43832 179.356 -9.94599 8.62568 0
70 155.06 3.31592 179.911 -9.9537 8.59692 0
70 154.905 3.31418 178.859 -9.97011 8.71245 0
70 154.905 3.31418 178.859 -9.98665 8.75012 0
70 155.04 3.55183 179.377 -10.0263 8.74426 0
70 155.04 3.55183 179.377 -10.0469 8.7727 0
70 155.027 3.6262 179.042 -10.0751 8.83418 0
70 155.056 3.45266 179.824 -10.081 8.79481 0
70 155.056 3.45266 179.824 -10.0931 8.8155 0
70 154.92 3.32647 179.331 -10.0821 8.88372 0
70 155.054 3.25356 179.663 -8.54892 1.93082 0
70 155.054 3.25356 179.663 -10.0758 8.90965 0
70 155.133 3.16992 178.938 -10.0685 9.00405 0
70 155.133 3.16992 178.938 -10.0685 9.04066 0
70 155.147 3.18321 179.41 -10.0696 9.02899 0
70 155.147 3.18321 179.41 -10.0696 9.05739 0
70 154.809 3.24997 179.669 -11.629 12.1747 0
70 154.809 3.24997 179.669 -10.0754 9.08578 0
70 155.042 3.0168 179.142 -10.0551 9.16161 0
70 155.042 3.0168 179.142 -10.0551 9.19488 0
70 155.381 3.45885 179.229 -10.0937 9.21628 0
70 155.418 4.47162 177.806 -10.1821 9.38513 0
70 155.27 4.96672 177.215 -10.2253 9.49798 0
70 154.834 5.27788 175.89 -10.2524 9.68997 0
70 154.287 5.52352 174.905 -10.2738 9.87331 0
70 154.287 5.52352 174.905 -10.2738 9.98242 0
70 154.147 6.42801 173.583 -10.3528 10.2189 0
70 153.952 7.13516 173.163 -10.4145 10.3949 0
70 154.107 7.98636 172.993 -10.4888 10.5528 0
70 154.034 8.81417 171.888 -27.8985 34.1455 0
70 154.057 8.84189 171.888 -10.5634 10.793 0
70 153.657 9.51075 171.832 -10.6218 10.7979 0
70 153.657 9.51075 171.832 -10.6218 10.7979 0
70 153.657 9.51075 171.832 -10.6218 10.7979 0
70 152.329 10.9854 170.726 -10.7505 10.8943 0
70 152.019 11.2393 170.335 -10.7726 10.9285 0
70 152.019 11.2393 170.335 -10.7726 10.9285 0
70 152.347 12.414 170.229 -10.8752 10.9377 0
70 152.347 12.414 170.229 -10.8752 10.9377 0
70 152.304 12.8797 169.389 -10.9158 11.011 0
70 152.307 12.6858 169.224 -10.8989 11.0255 0
70 152.307 12.6858 169.224 -10.8989 11.0255 0
70 152.307 12.6858 169.224 -10.8989 11.0255 0
70 152.307 12.6858 169.224 -10.8989 11.0255 0
70 153.62 12.2477 170.793 -10.8606 10.8885 0
70 154.157 10.1291 173.945 -10.6758 10.6134 0
70 154.773 6.98004 177.799 -10.401 10.2771 0
70 155.561 3.38273 181.201 -10.087 9.97963 0
70 156.142 1.14336 184.574 -9.8877 9.67052 0
70 156.366 0.786495 185.197 -9.8311 9.5435 0
70 156.162 2.22971 182.225 -9.93283 9.73699 0
70 155.715 4.45601 178.965 -10.1342 10.0123 0
70 154.988 6.9991 176.026 -10.4013 10.314 0
70 154.42 8.3406 174.001 -10.5197 10.5877 0
70 154.42 8.3406 174.001 -10.5197 10.6086 0
70 154.565 6.80691 176.477 -10.3858 10.3925 0
70 154.982 5.17686 178.917 -10.2436 10.1796 0
70 155.671 3.59506 180.774 26.7047 -33.1978 0
70 155.671 3.59506 180.774 -10.1056 10.0175 0
70 156.282 3.52263 181.675 -10.0992 9.92717 0
70 155.843 4.74574 179.256 -10.206 10.1499 0
70 155.359 5.57465 177.109 -10.2783 10.3374 0
70 154.9 6.21958 175.859 -10.3346 10.4464 0
70 154.509 6.16557 175.159 -10.3299 10.5075 0
