H_VAL   H_STEP_SIZE 70 0.1
ROLL KP KI KD 5 5 10
PITCH KP KI KD 5 5 10
YAW KP KI KD 0 0 0
70 155.322 2.85495 181.445 -0.0416266 -0.0420756 0
70 155.432 2.86842 180.858 -0.0472762 0.00722195 0
70 155.432 2.86842 180.858 -0.0517437 0.00829904 0
70 155.432 2.86842 180.858 -0.0562534 0.00938629 0
70 155.432 2.86842 180.858 -0.0603838 0.0103821 0
70 155.432 2.86842 180.858 -0.0648934 0.0114693 0
70 155.432 2.86842 180.858 -0.0694452 0.0125667 0
70 155.324 2.83042 181.557 -0.0700384 -0.0530007 0
70 155.324 2.83042 181.557 -0.0739602 -0.0581327 0
70 155.324 2.83042 181.557 -0.0782703 -0.063773 0
70 155.425 1.93289 180.303 0.00149744 0.0479118 0
70 155.425 1.93289 180.303 0.00568379 0.0541248 0
70 155.425 1.93289 180.303 0.00959369 0.0599276 0
70 155.425 1.93289 180.303 0.0138195 0.0661993 0
70 155.429 2.10825 180.576 0.00230119 0.047999 0
70 155.429 2.10825 180.576 0.00467192 0.0514126 0
70 155.429 2.10825 180.576 0.00726037 0.0551398 0
70 155.429 2.10825 180.576 0.00984882 0.0588669 0
70 155.429 2.10825 180.576 0.0122195 0.0622806 0
70 155.429 2.10825 180.576 0.014808 0.0660426 0
70 155.429 2.10825 180.576 0.0174206 0.0698046 0
70 155.429 2.10825 180.576 0.0198398 0.0732531 0
70 155.429 2.33252 180.624 0.00190203 0.0725418 0
70 155.429 2.33252 180.624 0.00235935 0.0755685 0
70 155.429 2.33252 180.624 0.00285824 0.0788704 0
70 155.429 2.33252 180.624 0.00331555 0.0821717 0
70 155.425 2.26934 180.376 0.00961368 0.107985 0
70 155.425 2.26934 180.376 0.0106979 0.113573 0
70 155.425 2.26934 180.376 0.0117112 0.118795 0
70 155.431 2.30806 180.736 0.00908928 0.0898824 0
70 155.431 2.30806 180.736 0.00975796 0.0919428 0
70 155.431 2.30806 180.736 0.0104874 0.0941906 0
70 155.431 2.30806 180.736 0.0111561 0.0964377 0
70 155.431 2.30806 180.736 0.0118856 0.0985195 0
70 155.431 2.30806 180.736 0.0126151 0.100746 0
70 155.431 2.30806 180.736 0.0132838 0.102807 0
70 155.431 2.30806 180.736 0.0140132 0.105055 0
70 155.431 2.30806 180.736 0.0146887 0.107136 0
70 155.431 2.30806 180.736 0.0154114 0.109384 0
70 155.284 3.62115 180.089 -0.107312 0.172306 0
70 155.284 3.62115 180.089 -0.119173 0.180807 0
70 155.529 3.40201 180.033 -0.109749 0.19388 0
70 155.529 3.40201 180.033 -0.118708 0.202177 0
70 155.287 3.7084 180.226 -0.156229 0.193948 0
70 155.287 3.97003 180.635 -0.167889 0.200617 0
70 155.297 3.97003 180.635 -0.204826 0.167914 0
70 155.278 3.98078 180.051 -0.220063 0.225946 0
70 155.278 3.98078 180.051 -0.234263 0.233838 0
70 155.278 3.98078 180.051 -0.248464 0.242142 0
70 155.517 4.01028 179.931 -0.266668 0.261526 0
70 155.517 4.01028 179.931 -0.281131 0.270815 0
70 155.517 4.01028 179.931 -0.295594 0.280103 0
70 155.36 4.09113 179.016 -0.316076 0.371162 0
70 155.579 4.41491 178.609 -0.361439 0.426376 0
70 155.579 4.41491 178.609 -0.379504 0.447431 0
70 155.579 4.41491 178.609 -0.397391 0.46828 0
70 155.615 5.55065 177.679 -0.526271 0.580669 0
70 155.79 5.78316 178.777 -0.576135 0.511484 0
70 155.691 5.59727 179.094 -0.59115 0.49867 0
70 155.855 5.54421 179.895 -0.615025 0.444271 0
70 155.855 5.54421 179.895 -0.642866 0.454632 0
70 155.667 5.89214 178.806 -0.70758 0.564878 0
