H_VAL   H_STEP_SIZE 50 0.1
ROLL KP KI KD 5 0 12
PITCH KP KI KD 5 0 12
YAW KP KI KD 0 0 0
50 356.002 2.72951 180.669
50 356.002 2.72951 180.669
50 356.002 2.72951 180.669
50 356.002 2.72951 180.669
50 356.009 3.0617 181.252
50 356.009 3.0617 181.252
50 356.009 3.0617 181.252
50 356.009 3.0617 181.252
50 356.009 3.0617 181.252
50 356.022 2.58304 181.581
50 356.022 2.58304 181.581
50 356.022 2.58304 181.581
50 355.901 2.93303 181.594
50 355.901 2.93303 181.594
50 355.901 2.93303 181.594
50 355.901 2.93303 181.594
50 355.901 2.93303 181.594
50 355.901 2.93303 181.594
50 355.901 2.93303 181.594
50 355.911 3.27283 181.721
50 355.911 3.27283 181.721
50 355.911 3.27283 181.721
50 355.911 3.27283 181.721
50 355.911 3.27283 181.721
50 355.911 3.27283 181.721
50 355.921 3.26044 182.064
50 355.921 3.26044 182.064
50 355.806 3.61016 181.851
50 355.806 3.61016 181.851
50 355.927 3.95585 181.86
50 355.927 3.95585 181.86
50 355.971 4.49877 182.682
50 355.971 4.49877 182.682
50 355.824 3.70769 182.313
50 355.824 3.70769 182.313
50 356.072 4.51396 182.334
50 356.072 4.51396 182.334
50 356.194 4.27639 182.665
50 356.194 4.27639 182.665
50 356.194 4.27639 182.665
50 355.918 6.55668 182.989
50 356.035 7.49975 182.784
50 356.035 7.49975 182.784
50 356.612 4.55184 181.51
50 356.612 4.55184 181.51
50 356.923 5.0395 180.594
50 356.878 5.68785 181.876
50 356.418 4.63662 182.324
50 356.325 4.38252 183.008
50 356.325 4.38252 183.008
50 356.345 6.0089 182.715
50 356.244 6.92453 182.523
50 356.225 6.00946 182.607
50 356.347 5.65878 182.932
50 356.347 5.65878 182.932
50 356.203 6.1391 182.153
50 356.203 6.1391 182.153
50 356.307 5.21231 182.119
50 356.562 5.19981 182.68
50 356.562 5.19981 182.68
50 356.756 5.98095 183.956
50 356.661 5.84805 184.416
50 356.661 5.84805 184.416
50 356.368 5.76167 183.279
50 356.177 5.80843 181.798
50 356.254 6.06555 181
50 356.254 6.06555 181
50 356.435 5.55337 182.239
50 356.358 4.82456 183.481
50 356.009 4.70416 183.718
50 355.801 5.73777 183.423
50 355.783 6.33395 182.758
50 356.195 5.79675 182.141
50 356.195 5.79675 182.141
50 356.195 5.79675 182.141
50 356.195 5.79675 182.141
50 356.605 5.64797 183.493
50 356.131 5.52545 183.283
50 355.848 5.44157 182.261
50 355.848 5.44157 182.261
50 355.936 5.11084 181.558
50 355.936 5.11084 181.558
50 355.936 5.11084 181.558
50 356.083 6.64542 183.788
50 355.852 6.40442 183.907
50 355.852 6.40442 183.907
50 356.083 5.44325 182.364
50 356.52 5.22815 181.765
50 356.52 5.22815 181.765
50 355.727 4.62402 182.238
50 355.727 4.62402 182.238
