H_VAL   H_STEP_SIZE 60 0.1
ROLL KP KI KD 5 12 12
PITCH KP KI KD 5 12 12
YAW KP KI KD 0 0 0
60 188.149 1.20964 180.833 0.108766 0.0131456 0
60 188.149 1.20964 180.833 0.134624 0.0163005 0
60 188.149 1.20964 180.833 0.160727 0.0194257 0
60 188.149 1.20964 180.833 0.187077 0.0226104 0
60 188.149 1.20964 180.833 0.211211 0.0255272 0
60 188.149 1.20964 180.833 0.237315 0.0286821 0
60 188.041 1.68283 181.03 0.210589 0.0102896 0
60 188.041 1.68283 181.03 0.226188 0.00905813 0
60 188.041 1.68283 181.03 0.241934 0.007815 0
60 188.152 1.55284 180.808 0.268849 0.0272229 0
60 188.152 1.55284 180.808 0.289077 0.0312686 0
60 188.152 1.55284 180.808 0.306341 0.0347213 0
60 188.04 1.56843 181.038 0.325191 0.0158869 0
60 188.04 1.56843 181.038 0.342131 0.0145704 0
60 188.04 1.56843 181.038 0.360441 0.0131474 0
60 188.04 1.56843 181.038 0.378921 0.0117112 0
60 188.04 1.56843 181.038 0.396033 0.0103814 0
60 188.036 1.55236 180.81 0.416078 0.0336395 0
60 188.036 1.55236 180.81 0.433526 0.0370959 0
60 188.043 1.69087 181.145 0.437296 0.0040066 0
60 188.043 1.69087 181.145 0.451698 0.000487119 0
60 188.043 1.69087 181.145 0.467555 -0.00338786 0
60 188.043 1.9116 181.014 0.459002 0.00669445 0
60 188.043 1.9116 181.014 0.469621 0.00580265 0
60 188.043 1.9116 181.014 0.479545 0.0049191 0
60 188.043 1.9116 181.014 0.490164 0.00410162 0
60 188.043 1.9116 181.014 0.500882 0.00320982 0
60 188.043 1.9116 181.014 0.510806 0.00238408 0
60 187.93 2.13976 181 0.497167 0.00298721 0
60 187.93 2.13976 181 0.502261 0.00241386 0
60 187.93 2.13976 181 0.507819 0.00188411 0
60 188.161 2.14085 180.996 0.513266 0.00172654 0
60 188.161 2.14085 180.996 0.518389 0.00128005 0
60 188.164 2.48369 180.972 0.488618 0.00331162 0
60 188.168 2.82635 180.947 -8.51465 0.644637 -0
60 188.168 2.82635 180.947 0.446112 0.00616976 0
60 188.168 2.82635 180.947 0.43697 0.00674582 0
60 188.168 2.82635 180.947 0.426997 0.00736221 0
60 188.168 2.82635 180.947 0.417763 0.00793827 0
60 188.277 3.39914 180.788 0.346768 0.0254981 0
60 188.178 3.88091 181.101 0.27845 -0.00120322 0
60 188.178 3.88091 181.101 0.24431 -0.00408917 0
60 188.178 3.88091 181.101 0.212989 -0.00676329 0
60 188.16 4.0687 180.514 0.160497 0.0467396 0
60 188.16 4.0687 180.514 0.125596 0.056386 0
60 188.395 4.19048 180.612 0.0743992 0.056554 0
60 188.395 4.19048 180.612 0.0369729 0.0646851 0
60 188.283 4.53311 180.591 -0.0385639 0.0743738 0
60 188.251 4.70347 179.776 -0.0839941 0.0824852 0
60 188.251 4.70347 179.776 -0.152749 0.181518 0
60 188.246 4.80922 179.653 -0.213579 0.22022 0
60 188.477 4.92029 179.635 -0.275333 0.249878 0
60 188.477 4.92029 179.635 -0.328954 0.278211 0
60 188.362 5.14946 179.624 -0.410182 0.310244 0
60 188.362 5.14946 179.624 -0.46865 0.338827 0
60 188.362 5.14946 179.624 -0.527697 0.367692 0
60 188.362 5.14946 179.624 -0.591375 0.398822 0
60 188.362 5.14946 179.624 -0.649843 0.427404 0
60 188.362 5.14946 179.624 -0.708311 0.45794 0
60 188.356 5.59607 179.476 -0.818821 0.502908 0
60 188.356 5.59607 179.476 -0.887408 0.534612 0
60 188.356 5.59607 179.476 -0.960695 0.568828 0
60 188.356 5.59607 179.476 -1.02862 0.600533 0
60 188.356 5.59607 179.476 -1.09721 0.632551 0
60 188.378 5.62939 179.933 -1.16929 0.620508 0
60 188.395 5.54072 180.283 -1.2352 0.605669 0
60 188.395 5.54072 180.283 -1.30194 0.620297 0
60 188.252 5.50054 179.718 -1.3652 0.693385 0
60 188.252 5.50054 179.718 -1.43697 0.722336 0
60 188.252 5.50054 179.718 -1.50351 0.749182 0
60 188.345 5.46572 179.256 -1.5664 0.824575 0
60 188.345 5.46572 179.256 -1.63737 0.864171 0
60 188.246 5.37857 179.612 -1.69368 0.864374 0
60 188.246 4.92317 179.645 -1.71626 0.890484 0
60 188.246 4.92317 179.645 -1.77472 0.921115 0
60 188.246 4.92317 179.645 -1.82893 0.949518 0
60 188.246 4.92317 179.645 -1.88262 0.977642 0
60 188.246 4.92317 179.645 -1.94055 1.00799 0
60 188.246 4.92317 179.645 -1.99423 1.0364 0
60 188.246 4.92317 179.645 -2.04844 1.06452 0
60 188.246 4.92317 179.645 -2.10691 1.09515 0
60 188.246 4.92317 179.645 -2.16059 1.12328 0
60 188.159 4.6313 180.359 4.60329 -15.5308 0
60 188.159 4.6313 180.359 -2.24052 1.10219 0
60 188.131 4.8106 179.658 -2.30798 1.19149 0
60 188.131 5.211 178.925 -2.35978 1.21962 0
60 188.446 5.211 178.925 -2.45509 1.3352 0
60 188.643 5.29251 178.336 -2.52949 1.43802 0
60 188.578 5.00694 179.279 -2.56356 1.4018 0
60 188.578 5.00694 179.279 -2.61902 1.43767 0
60 188.26 4.71996 180.004 -2.64932 1.40073 0
60 188.058 4.65599 180.706 -2.6927 1.35019 0
60 188.058 4.65599 180.706 -2.7412 1.35592 0
60 188.025 4.71394 179.899 -2.79248 1.44824 0
60 188.357 4.57153 179.551 -2.83211 1.50809 0
60 188.357 4.68343 179.533 -2.87881 1.5385 0
60 188.588 4.68252 179.533 -2.93805 1.57114 0
60 188.246 4.58121 179.67 -0.624933 -1.58359 0
60 188.246 4.58121 179.67 -3.02886 1.62008 0
60 188.246 4.58121 179.67 -3.07577 1.64796 0
60 188.246 4.58121 179.67 -3.1259 1.67802 0
60 188.265 4.61419 180.127 -3.17686 1.6563 0
60 188.352 5.01893 179.404 -3.26131 1.74023 0
60 188.352 5.01893 179.404 -3.31757 1.77379 0
60 188.352 5.01893 179.404 -3.37824 1.80999 0
60 187.067 11.4018 172.139 -4.10514 2.60682 0
60 186.691 13.822 171.209 -4.53937 2.88839 0
60 186.567 11.5328 171.836 -4.57863 3.05203 0
60 187.014 7.75497 174.924 -4.40593 2.9467 0
60 187.946 3.76597 181.117 -4.1366 2.47977 0
60 188.428 1.01436 185.898 -3.90119 2.01647 0
60 188.74 0.138269 187.804 -3.78497 1.71485 0
60 188.74 0.138269 187.804 -3.73744 1.57038 0
60 188.802 1.79197 185.262 -3.86374 1.72226 0
60 188.51 4.63781 180.46 -4.15007 2.13522 0
60 188.105 7.04691 175.359 -4.4601 2.69273 0
60 187.767 8.66076 171.464 -4.73228 3.22933 0
60 187.684 8.96975 170.642 -4.89801 3.5182 0
60 188.01 8.15847 172.866 -4.96416 3.51853 0
60 188.407 6.54297 176.415 -4.91383 3.31121 0
60 188.738 5.0832 180.302 -4.84739 2.9939 0
60 188.962 4.08876 183.588 -4.80188 2.65189 0
60 188.868 3.80398 184.418 -4.80733 2.5059 0
60 188.686 4.30146 182.088 -4.89044 2.68178 0
60 188.557 6.20393 176.774 -27.4847 63.7397 0
60 188.551 6.63696 174.784 -15.3205 49.7513 0
60 188.551 6.63696 174.573 -5.33324 8.51178 0
60 188.684 5.50797 176.707 -5.33897 3.57735 0
60 188.686 4.53232 179.081 -5.31706 3.45288 0
60 188.624 3.96163 180.621 -5.31406 3.35414 0
60 188.421 3.90654 181.436 -5.34527 3.28671 0
60 188.421 3.90654 181.436 -5.37776 3.27685 0
60 188.222 4.99591 179.066 -5.51125 3.48671 0
60 188.36 5.67791 177.286 -5.62965 3.68993 0
60 188.36 5.67791 176.803 -5.69999 3.76873 0
60 188.683 5.74448 176.803 -5.77756 3.90088 0
60 188.683 5.74448 176.803 -5.84931 3.99699 0
60 188.708 4.34789 179.669 -5.79858 3.81719 0
60 188.286 3.53003 181.008 -5.76645 3.72346 0
60 188.286 3.53003 181.008 -5.79306 3.72269 0
60 188.286 3.53003 181.008 -5.81727 3.72198 0
60 188.286 3.53003 181.008 -5.84172 3.72121 0
60 188.25 3.90459 179.834 -5.90745 3.84414 0
60 188.25 3.90459 179.834 -5.9399 3.86828 0
60 188.25 3.90459 179.834 -5.97235 3.89265 0
60 188.823 4.80206 179.629 -6.10635 3.94401 0
60 188.823 4.80206 179.629 -6.16202 3.97246 0
60 188.187 3.67674 181.46 -6.0973 3.81194 0
60 187.976 3.27307 182.298 -6.08247 3.71351 0
60 187.976 3.27307 182.298 -6.10291 3.68303 0
60 187.961 3.21569 181.615 -6.11615 3.72298 0
60 187.961 3.21569 181.615 -6.13388 3.70931 0
60 188.257 4.47349 179.26 -6.19039 23.1753 -0
60 188.578 3.74432 179.26 -6.23648 3.97109 0
60 188.578 3.74432 179.26 -6.26522 4.00737 0
60 188.578 3.74432 179.26 -6.29396 4.04365 0
60 188.578 3.74432 179.26 -6.32527 4.08316 0
60 188.578 3.74432 179.26 -6.3543 4.11979 0
60 187.335 0.610153 180.535 -6.05402 4.02249 0
60 186.664 358.223 179.07 -5.76491 4.18942 0
60 186.288 352.489 173.514 -5.05695 4.82435 0
60 186.892 350.203 170.909 -4.59715 5.26676 0
60 188.556 354.477 174.088 -100 -68.785 -0
60 189.516 0.190602 178.145 -5.05298 4.98788 0
60 190.439 6.00565 183.946 -5.54482 4.51113 0
60 190.813 10.2962 188.507 -6.0216 4.02321 0
60 190.149 11.357 190.21 -6.28895 3.70439 0
60 188.528 9.08773 188.663 -6.27262 3.63513 0
60 187.243 5.05199 185.314 -6.05427 3.78136 0
60 186.424 0.522467 181.118 -5.68371 4.08467 0
60 186.278 356.834 176.846 -5.29575 4.48483 0
60 186.811 355.019 173.865 -5.0043 4.85594 0
60 187.765 355.855 174.879 -4.91368 4.92382 0
60 188.399 358.159 178.412 -4.99072 4.72111 0
60 188.969 1.53592 181.948 -5.22094 4.44234 0
60 189.356 4.17927 184.605 -5.45687 4.16645 0
60 189.176 5.52049 186.805 -5.62656 3.8734 0
60 188.611 5.27132 187.198 -5.66979 3.70913 0
60 187.841 3.6606 184.69 -5.57751 3.81476 0
60 187.122 1.79896 181.15 -5.42216 4.08206 0
60 186.879 0.0387257 178.735 -5.23685 4.31538 0
60 187.121 359.269 177.521 -5.10942 4.49138 0
60 187.121 359.269 177.521 -5.03763 4.56443 0
60 188.138 0.310745 179.519 -5.07503 4.43881 0
60 188.509 1.60513 181.489 -5.15977 4.27347 0
60 188.557 2.53961 183.142 -5.23639 4.09342 0
60 188.131 2.92932 183.927 -5.27822 3.97019 0
60 188.131 2.92932 183.927 -5.28973 3.90773 0
60 187.494 1.99803 182.395 -5.2117 3.99219 0
60 187.463 1.67189 180.924 -5.17029 4.10601 0
60 187.798 1.62681 180.234 -5.15055 4.17357 0
60 187.798 1.62681 180.234 -5.13451 4.18924 0
60 187.798 1.62681 180.234 -5.11703 4.20632 0
60 188.616 2.04354 181.109 -5.14312 4.13325 0
60 188.396 1.65094 182.06 -5.09539 4.03204 0
60 188.396 1.65094 182.06 -5.0797 4.00885 0
60 187.691 0.497742 182.263 -4.94285 3.96441 0
60 187.691 0.497742 182.263 -4.90252 3.93475 0
60 187.691 0.497742 182.263 -4.85903 3.90724 0
60 187.691 0.497742 182.263 -4.8191 3.88 0
60 187.702 1.38341 181.744 -4.8594 3.89832 0
60 187.702 1.38341 181.744 -4.83631 3.88189 0
60 188.068 2.31885 181.904 -4.90986 3.84916 0
60 188.068 2.31885 181.904 -4.90845 3.82949 0
60 188.068 2.31885 181.904 -4.90692 3.80808 0
60 187.706 1.9405 181.477 -4.87033 3.82776 0
60 187.706 1.9405 181.477 -4.86091 3.81714 0
60 187.706 1.9405 181.477 -4.85066 3.80557 0
60 186.514 359.419 183.933 54.0584 -53.5882 0
60 186.514 359.419 195.733 -4.55363 3.51327 0
60 185.266 355.342 189.055 -4.04731 2.87843 0
60 185.09 351.347 193.751 -3.44958 2.19576 0
60 185.781 351.066 193.362 -3.18332 1.96502 0
60 187.097 357.966 188.053 -3.59276 2.20007 0
60 187.595 4.42845 180.74 -4.09656 2.72724 0
